Idy	Fecha de Respuesta	Nombre Tienda	Nota de Recomendación	Razón LTR	Nivel 1	Nivel 2	Nivel 3	archivo
1385	13/8/2018	Cordoba	0	No pude buscar el producto en el que la página me decía q estaría disponible. Ahora no puedo cancelar el pedido	Despacho	Retiro en tienda	C&C	detractores resto para compesandar
1386	13/8/2018	Unicenter	5	Un articulo no tenia etiqueta. Cuando me ha pasado llaman a una persona para que busque el precio . esta vez tuvimos que hacerlo nosotros..recorrer toda la tienda para poder traer uno similar	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
1387	13/8/2018	Unicenter	1	La atencion es pesima!!!!	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1388	13/8/2018	Avellaneda	3	Estaba con mi bebe en brazon y no hay cartel indicando prioridad, la cajera ni en ningun lugar del local vi que habia descuento con la tarjeta 365. Lo cual me entere a la hora de haber realizado la compra.	Cajas	Inconveniente en transacción	Error de personal	detractores resto para compesandar
1389	13/8/2018	Dot	6	Estaba muy desordenado. Uno de los juguetes q compré no funciona. Nada tenía precio.	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
1390	13/8/2018	Unicenter	6	Porque ultimamente tienen poca cantidad de talles pequeños y ademas he tenido algunos inconvenientes a la hora de pagar	Productos	Disponibilidad	falta de talles	detractores resto para compesandar
1391	13/8/2018	Mendoza	0	Un desastre el Lugar, sucio desordenado, precios altos y mala calidad	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1392	13/8/2018	Cordoba	6	porque están los productos desordenados y algunos incompletos, faltan tapas de cajas, de especieros, etc.	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1393	13/8/2018	Mendoza	6	Precios	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
1394	13/8/2018	Cordoba	5	Los juguetes estában abiertos y había juguetes tirados en el suelo y en cajas amontonados	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1395	13/8/2018	Dot	5	Pórque me parece bien	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
1396	13/8/2018	Tortugas	5	Estuve esperando en la caja casi 40 minutos	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
1397	13/8/2018	Avellaneda	6	Porqué aveces no buscas lo que queres porque está todo despelotado	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1398	13/8/2018	Unicenter	6	Falta de precios en los productos	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
1399	14/8/2018	Rosario	6	Cajas lentas, interminables	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
1400	14/8/2018	Avellaneda	6	Considero que hay poco personal para atender a los clientes, estuve diez minutos esperando para consultar por una impresora	Colaboradores	Atención 	Tiempo excesivo de espera para ser atendido	detractores resto para compesandar
1401	14/8/2018	Unicenter	5	No hay personal para hacer consultas sobre los productos	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
1402	14/8/2018	Florida 1 (Florida N°343)	4	Me cobraron mal ... tuve que perder mucho tiempo para que me tomen la oferta ...	Cajas	Inconveniente en transacción	Error de personal	detractores resto para compesandar
1403	14/8/2018	Florida 2 (Florida N°202)	5	Porque no fui asistida pero tampoco tuve problemas para encontrar los talles	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
1404	14/8/2018	Florida 2 (Florida N°202)	5	Los precios no son muy accesibles, no hay promociones bancarias y además compré algo que era un obsequio y ni siquiera tenían una bolsa adecuada a tales fines.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
1405	14/8/2018	Cordoba	0	Muy mal atendido.. habia o hay 2 por 1 en jueguetes.. yo no sabia llego a la caja y me entero por un cliente.. y le digo a la cajera si puedo buscar el otro .. me dice no ya te facture no puedo.. me molesto muchisimo voy a dar de baja mis tarjetas no pueden tener gente asi tan de mierda atendiendo..	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
1406	14/8/2018	Rosario	5	Porque las rebajas son muy distantes al precio original, entiendo que es temporada de descuentos, pero encontrar una prenda a 600 pesos, siendo que antes estaba a 2500 hace dudar del costo real de la misma, y no recomendaría comprar en la tienda en temporada donde no hay rebaja	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
1407	14/8/2018	Florida 1 (Florida N°343)	4	Hice una consulta en el sector caja y tardaron más de 15 en contestar algo que claramente la cajera tenía que saber.	Cajas	Demora	Tiempo de espera en transacción	detractores resto para compesandar
1408	14/8/2018	Unicenter	0	"el producto que yo queria estaba en gondola pero no me lo dan. me mandan a la caja con un papelito con un codigo de barra a pagar y me dicen que me lo entregan ahi.pago, me hacen pasar al sector entregas. el empleado se va al fondo y vuelve sin nada. me dice ""ahora vengo"". se va al salon y me trae uno de gondola... la compra que podia haber durado 5 minutos se convirtio en 30 minutos de paseos al ped.... ¿es un chiste?"	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
1409	14/8/2018	Rosario	0	Las empleadas tienen pésimo humor predisposición la solución de los problemas más sencillos es lentisima para el cliente	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1410	14/8/2018	Mendoza	5	Por q siempre hay bastante caos y los empleados no son muy amigables	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1411	14/8/2018	Florida 2 (Florida N°202)	6	poco predisposicion de personal de la tienda a responder dudas	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1412	14/8/2018	Cordoba	6	Hay muy poco personal para atender consultas.	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
1413	15/8/2018	Cordoba	0	"Después de 3 meses aún sigo esperando que me entreguen el TV por el cuál pagué más de $16.000 y aún no tengo respuesta por parte de Falabella. Ni acuden a las citaciones.
Lisa y llanamente es una estafa."	Servicios	Post Venta	Reclamo / Mala atención colaborador SAC	detractores resto para compesandar
1414	15/8/2018	Cordoba	6	No habia nadie en el sector para poder contestar mis dudas	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
1415	15/8/2018	Rosario	6	Mucho desorden en talles	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1416	15/8/2018	Unicenter	2	"No me hicieron el cambio de un producto fallado que estaba en promocion.
me dieron excusas sin sentido y me querian cobrar un adicional."	Devoluciones	Disconformidad con el circuito	Devoluciones	detractores resto para compesandar
1417	15/8/2018	Rosario	5	Porque estaba muy caótica la zona de niños, desordenada. Además los precios no son muy económicos	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1418	15/8/2018	Florida 1 (Florida N°343)	6	Deberían tener stock de los modelos que muestran...y dejar los modelosde un día a otro	Productos	Disponibilidad	Falta de stock	detractores resto para compesandar
1419	15/8/2018	Unicenter	5	Faltaba iluminación en el sector, muchos artículos no tenían precio y había que ir hasta el lector de códigos de barra que por haber tanta gente por el día del niño próximo tenía una fila de 5 personas para averiguar un precio.	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
1420	15/8/2018	Florida 3 (Florida N°665)	6	Porque la gente que atiende hace todo menos atender a un cliente	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1421	15/8/2018	Cordoba	0	Porque la computadora de caja se trabó al medio de la operación y me demorado más de 20 minutos. Estando a punto de llegar tarde a buscar a mi hijo por tenerme retenido sin ofrecerme solución, procedí en cancelar la compra para poder irme. Y mágicamente pudieron solucionar el problema.	Cajas	Demora	Tiempo de espera en transacción	detractores resto para compesandar
1422	15/8/2018	Florida 1 (Florida N°343)	6	la gente parece demotivada	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1423	15/8/2018	Unicenter	6	Falta de precios en las góndolas. Pocos vendedores disponibles. Desorden en juguetería. No estaba el scan para consultar precios.	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
1424	15/8/2018	Avellaneda	6	Lo que compré vino fallado o mal armado.	Productos	Disponibilidad	Producto en mal estado	detractores resto para compesandar
1425	15/8/2018	Florida 2 (Florida N°202)	0	"Había una camisa que estaba en oferta, cuando voy a pagarla resulta que ese precio ""estaba mal"", llamaron en supervisor y me dijo de muy mala manera que no correspondía porque supuestamente alguien lo habia puesto. La verdad que penosa la atención y la justificación que recibí de ese señor, el cartón con la oferta indicaba que era esa camisa, si por error no corresponde el problema de ustedes por no controlar que mercadería venden y de que forma"	Precio y ofertas	Precios	Producto mal etiquetado 	detractores resto para compesandar
1426	15/8/2018	Florida 2 (Florida N°202)	4	Porque bajó la calidad de la indumentaria	Productos	Disponibilidad	Mal estado del producto	detractores resto para compesandar
1427	15/8/2018	Cordoba	6	.	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
1428	16/8/2018	Florida 1 (Florida N°343)	2	Porque el precio de lo que compre difería con lo q figuraba en el articulo	Precio y ofertas	Precios	Producto mal etiquetado 	detractores resto para compesandar
1429	16/8/2018	Cordoba	3	porque en primer lugar nunca tienen los productos en tienda, el cargo por cuotas es excesivo, y ademas un desastre la entrega pedi 4 veces que sea de 14 a 20 hs, me llaman a la mañana con una maquina q es de 8 a 14 me quejo me dicen q lo solucionan, me vuelve a llamar la maquina q es 2 hs me lo dejan!!!!!!!!!!!!!!!!!!!! tengo q volver a llamar al call. Por la unica razon q fui es porque tenia credito en falabella novios	Productos	Disponibilidad	Falta de stock	detractores resto para compesandar
1430	16/8/2018	Unicenter	6	Por la variedad de los productos ofrecidos y su relación calidad - precio.	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
1431	16/8/2018	Cordoba	0	No cumplieron con el envío según lo pactado ni avisaron que no cumplirían... espere toda la mañana que llegará el lavarropas	Despacho	Despacho	Home delirevy	detractores resto para compesandar
1432	16/8/2018	Rosario	4	Falta de promociones y atención deficiente y poco confiable de vendedores	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1433	16/8/2018	Avellaneda	6	Mucha cola para los probadores y mala atención de la persona a cargo	Probadores	Colaborador	Falta amabilidad y actitud de servicio probador	detractores resto para compesandar
1434	16/8/2018	Rosario	0	Porque las personas encargadas en asesorar no están capacitadas. La parte de descuentos está mal señalizada.	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1435	16/8/2018	Dot	6	Hay de todo un poco pero aveces no se consigue lo que uno esta buscando.	Productos	Disponibilidad	Falta de stock	detractores resto para compesandar
1436	16/8/2018	Dot	2	"ayer compré 2 camperas para niñas!! el señor que me atendió una vez realizado mi pago!! me dejó los tickets sobre el mostrador y se dio vuelta ... atendiendo otros asuntos... supongo!!! le hago una pregunta con respecto  a coml hago en caso de cambio de producto!! y me dice ahí tenés el tickets y se dio vuelta  nuevamente!!! sinceramente me parecio una falta de respeto hacia el CLIENTE!!
Por otro lado quería comunicarles que hace 20 días hice la consulta para otorgamiento de
su tarjeta CMR en el unicenter !! la persona que me atendió me dijo que calificaba pero por cuestiones de tiempo lo hice el trámite en el momento .. cosa que me arrepiento ya que ayer en el DOT aprovechando que tenía tiempo volví a hacer el intento esta vez me dijeron que no calificaba y por ese motivo no puedo acceder a su tarjeta . lo cual me parece extraño !! ya que hace 20 días si y 20 días después no!!!
espero le sirva mi sugerencia!!
Saludos

Cristian Arnaudo
1166660065"	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
1437	16/8/2018	Florida 2 (Florida N°202)	2	Compre un regalo para otra persona y al pedir que me lo envuelven para tal motivo me dijeron que no había ni moños ni bolsas especiales, sólo dan el ticket de cambio. Me parece una vergüenza que una empresa como Falabella no entregue bolsas o moños para regalo. En otras oportunidades lo hacían	Cajas	Inconveniente en transacción	Error de personal	detractores resto para compesandar
1438	16/8/2018	Florida 2 (Florida N°202)	6	Porque está todo muy desordenado. No hay empleados que te atiendan como es en Rosario	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1439	17/8/2018	Florida 2 (Florida N°202)	4	Orden y precios no exibidos	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
1440	17/8/2018	Unicenter	2	"En forma general porque los tiempos de espera en largas colas para pagar en las cajas son muy extensos.
En forma particular con respecto a la última compra realizada por 2 razones:
1) Como la compra superaba los $ 5.000 me pidieron todo tipo de datos personales, aduciendo que era una nueva normativa de Falabella que entró en vigencia ese día. La cajera no sabía cómo hacerlo. Tuve que esperar más de 20 minutos en la caja hasta que pude retirarme habiendo pagado y con la mercadería. Encima las demás cajeras no sabían de la reglamentación, por lo que parece que la cajera que me tocó a mí era la única que lo estaba haciendo.
2) Durante ese procedimiento me pidieron una dirección de correo electrónico la cual me negé a entregarla porque no quiero que me envíen correos. Y ahora me encuentro con la sorpresa que me envían un mail igual con esta encuesta de satisfacción, contra mi voluntad y sin que yo les hubiese dado mi dirección de mail ni autorizado a que me envíen correos. Esta va en contra de la ley de protección de datos personales vigente en Argentina."	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
1441	17/8/2018	Florida 1 (Florida N°343)	4	Compre vasos los cuales algunos llegaron rotos	Productos	Disponibilidad	Producto en mal estado	detractores resto para compesandar
1442	17/8/2018	Avellaneda	5	En lenceria sólo hice pregunte por un artículo y me contestaron no hay más, y listo. En perfumería el venedor fue  muy amable, y eficiente. Pero la compra q debía retirar mi marido, había sido anulada sin explicaciones. Muy mal y raro. Es la primera vez que nos pasa. Nadie sabía el motivo. Muy poco serio	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1443	17/8/2018	Mendoza	0	xq hago compras ... y no lo tienen, o siempre pasa algo q cancela mi compra... en fin no se xq esta expuesta si no lo tienen	Despacho	Retiro en tienda	C&C	detractores resto para compesandar
1444	18/8/2018	Tortugas	5	Todo demasiado disperso	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1445	18/8/2018	Cordoba	5	"Falabella se caracteriza por tener vendedoras ""virtuales"" : no se las encuentra. Cuando se encuentran son amables."	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
1446	18/8/2018	Mendoza	1	Un desastre están construyendo y esta todo lleno de polvo, que además te da alergia, ruido y sucio todo!!	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1447	18/8/2018	Tortugas	5	No tienen variedad de productos. Los lanzamientos en vajilla no llegan. Siempre hay pocas cajas para pagar.	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
1448	18/8/2018	Rosario	6	Necesita mejore precios y variedad	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
1449	18/8/2018	San Juan	6	Precio	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
1450	18/8/2018	Unicenter	3	Había juguetes muy desordenados. Sin precio. Mal etiquetados.pocos asesores. Llegue a la caja y me cobraron más caro un juguete xq estaba mal etiquetado....	Precio y ofertas	Precios	Producto mal etiquetado 	detractores resto para compesandar
1451	19/8/2018	Mendoza	2	Las empleadas que estaban en la parte de deco estaban charlando demasiado le consulté algo me respondió y siguió charlando le volví a consultar y me miro y me dijo ahí mire las sábanas en ningún momento se predispuso a explicarme y atenderme. Desde su silla sentada delante de la computadora respondiendo .	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1452	19/8/2018	Unicenter	6	Compramos gran cantidad de vajilla la cual nos la  pusieron en bolsas. No nos permitieron llevar carrito ni pusieron a nuestra disposición nadie para ayudarnos. Tuvimos que bajar los dos pisos y cruzar todo el unicenter con bolsas en la mano	Cajas	Inconveniente en transacción	Error de personal	detractores resto para compesandar
1453	19/8/2018	Tortugas	4	Por la poca cantidad de talles disponibles, además de las demoras en las cajas.	Productos	Disponibilidad	falta de talles	detractores resto para compesandar
1454	19/8/2018	Mendoza	5	la atención de los vendedores deja bastante que desear, hay q buscarlos para que atiendan a los clientes	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1455	19/8/2018	Dot	5	Porque es muy engorroso hacer los cambios de productos.	Devoluciones	Disconformidad con el circuito	Devoluciones	detractores resto para compesandar
1456	19/8/2018	Rosario	1	Fui como última alternativa. Experimente tener la tarjeta de la casa. Me atrase y cumplí. Pero cuando quise tener la tarjeta otra vez me la negaron y soy dueña de un comercio. Según ustedes no reunía los requisitos porque mi monotributo era bajo. O sea.... Como empleada tenía más beneficios q ahora que mi facturación es mucho superior	CMR	Inconformidad Marca/ Servicio	CMR	detractores resto para compesandar
1457	19/8/2018	Unicenter	4	pase por la linea de cajas y el único cajero que estaba comprometido con atender fue el que me atendió, del resto de las cajas abiertas ninguna atendía la larga fila que se había formado, las cajeras se hacían chistes y hablaban entre ellas pero no atendían, hasta que apareció un señor mayor con saco azul, adonde automáticamente se abrieron todas las cajas instantáneamente.	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
1458	19/8/2018	Unicenter	5	Mala atencion	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1459	20/8/2018	Rosario	3	Estaban todos los juguetes revueltos, faltaban precios a los productos y las pocas personas que habia para realizar consultas tenian mala predisposición.	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
1460	20/8/2018	Rosario	5	Las prendas no tenían un orden por talle o color, había q revolver todo hasta tener la suerte de encontrar lo que uno buscaba. Muy pocos probadores para la cantidad de clientes que tienen	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1461	20/8/2018	Unicenter	6	Si bien encontré buenas ofertas,  el juguete que elegí tenía un precio en góndola y otro mucho mayor en la línea de cajas.	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
1462	20/8/2018	Rosario	6	Había una buena oferta, pero estaba todo tan desordenado que era casi imposible poder buscar algún producto. La verdad una compra que podría haber durado 15 minutos terminó durando horas.	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1463	20/8/2018	Dot	3	No me gusto la atención	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1464	20/8/2018	Florida 2 (Florida N°202)	6	Cuando consulte por un perfume la persona encargada del área no se detuvo a explicarme y hubo demasiados reclamos con compras de otras personas la cual nadie le daba solución	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1465	20/8/2018	Mendoza	5	Porque las prendas están mezcladas no se entienden los precios ni las ofertas muy incomodo los probadores.. Estuve más de 30 min de cola y en la caja nada valía lo que decía. Muy incomodo por las remodelaciones.	Precio y ofertas	Precios	Producto mal etiquetado 	detractores resto para compesandar
1466	20/8/2018	Dot	6	Falta de  talles y modelos	Productos	Disponibilidad	falta de talles	detractores resto para compesandar
1467	20/8/2018	Avellaneda	5	Estaba muy desordenada	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1468	20/8/2018	Mendoza	5	Es un caos por remodelación y hay pocos productos	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1469	20/8/2018	Avellaneda	6	No me termina de gustar	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
1470	20/8/2018	Unicenter	6	Al llegar a la caja a pagar no a Esteban cobrando los fletes que estaban sin cargo , la cajera muy amablemente llamó a un jefe para que lo modificara en la caja , después de 35 minutos de espera y sin respuesta , fui yo a buscar a un jefe por todo el salón , encontré al gerente que enseguida nos ayudó y modificó esto , pero en la caja terminamos estando 50 minutos . Me parece una falta total de respeto	Cajas	Demora	Tiempo de espera en transacción	detractores resto para compesandar
1471	21/8/2018	Mendoza	4	habia mucha gente, no funcionaban las escaleras mecánicas y habían sólamente 3 probadores, estuve más de media hora para medirme 2 pantalones	Probadores	Tiempo de espera	Fila extensa para acceder al probador	detractores resto para compesandar
1472	21/8/2018	Mendoza	3	Poca variedad de productos y la demora con la línea de caja fue un desastre. Estuve más de 30 minutos para que me cobraran dos juguetes. Un desastre	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
1473	21/8/2018	Florida 1 (Florida N°343)	4	Compre un regalo y cuando le pedí a la cajera q me lo envuelva para regalo me dijo q no envolvían. Le pedí una bolsa de cartón al menos y no esa de nylon q con el peso del regalo ya estaba toda deformada al agarrarla de las manijas y me dijo q no daban bolsas de cartón. Le pedí un moño y tampoco. Le pedí otra bolsa  me dijo q vaya a atención al cliente porque no podía dar 2 bolsas. Mi tiempo vale no iba a perder tiempo yendo allí y esperar q me atiendan por una bolsa q ni para la basura sirve. De terror atención!! El mismo regalo lo vi al mismo precio en una casa de decoración q me lo envolvió con papel de seda, bolsa de cartón y moño y el q compre ahí me lo tuve q quedar yo porque era impresentable. Yo no compre en un outlet compre en la tienda a precio real!!	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
1474	21/8/2018	Rosario	4	Un sólo probador habilitado en el 1er piso, lo cual generó largas colas para probar la ropa. Además pilas de ropa muy desordenadas, lo cual dificultó mucho la busqueda de una prenda adecuada.	Probadores	Tiempo de espera	Fila extensa para acceder al probador	detractores resto para compesandar
1475	21/8/2018	Mendoza	1	LA ATENCION ES MUY MALA , EL PERSONAL DE LA TIENDA ESTA TOTALMENTE MOLESTO Y CON MAL GESTO Y NO ATIENDEN NI INFORMAN BIEN SOBRE LAS PROMOCIONES QUE HAY	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1476	21/8/2018	Cordoba	6	una sola persona para atender e informar	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
1477	21/8/2018	Avellaneda	3	"No se consiguen talles grandes en las ofertas, la mayoria es talle ""L"" y no pude comprar ninguna oferta de remeras o buzos, al igual que pantalones , solo talle 38... la gente de talla grande como yo (Talle 48) tendria que tener los mismos derechos y ofertas que el resto,me parece logico."	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
1478	21/8/2018	Rosario	1	"Porque el personal no atiende al cliente de manera amable y servicial
Estuve en Falabella de otros países y la atención es excelente"	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
1479	21/8/2018	Rosario	6	Porque si bien hay liquidación, los descuentos son ÚNICAMENTE con CMR.	Cajas	Tarjetas de crédito / Bancos	Inconformidad con el tipo de financiación	detractores resto para compesandar
1480	21/8/2018	Florida 1 (Florida N°343)	2	Por que se me canta	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
1481	21/8/2018	Unicenter	5	compre un repuesto de un difusor de la marca the candle shop el cual me salio bastante caro por ser un simple repuesto($490) y no tiene olor a NADA, un desastre!!!! yo lo tuve anteriormente y esto no paso, no se si esta rebajado o que pero no sirve. quiero que me devuelvan mi dinero porque es una verdadera estafa	Productos	Disponibilidad	Mal estado del producto	detractores resto para compesandar
1482	21/8/2018	Mendoza	2	Es impresentable el estado en que se encuentra estructuralmente. No se puede creer q una tienda de ese prestigio, por remodelaciones, brinde un servicio tan malo, dirigiendo a los clientes por escaleras de servicio, tienda llena de tierra, gente q se choca, ropa mal presentada.	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1483	21/8/2018	Dot	3	No hay cuotas si no es con la tarjeta de la tienda	Cajas	Tarjetas de crédito / Bancos	Inconformidad con el tipo de financiación	detractores resto para compesandar
1484	21/8/2018	Avellaneda	1	"El dia 20 de agosto realice una compra grande de ropa en efectivo en la caja 3256 sec:3737 cajera: Gimenez florencia
La cual facturó una camiseta q compre y no la colocó en la bolsa. Cuando llegue a mi casa la remera no estaba. Vivo lejos y la unica solucion q me dio atencion al cliente es q me acerque al local a reclamar la remera lo cual me sale mucho mas caro los gastos de nafta y peaje que el valor de la remera. Soluciones cero!!! Aprenderé para la proxima luego de q me cobren con una cola de 20 personas atrás corroboro la factura y todo los productos que colocaron en mi bolsa"	Cajas	Inconveniente en transacción	Error de personal	detractores resto para compesandar
1485	21/8/2018	Avellaneda	5	Xq había pocos productos en comparación con la semana anterior	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
1486	21/8/2018	Unicenter	1	es todo un desorden total. articulos tirados por el piso, artículos sin precio, latas de conservas abollada. berreteadas chinas de pésima calidad. todo super decadente fiel al estilo berreta de esta tienda chilena.	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1487	21/8/2018	Unicenter	0	Fui a comprar juguetes que estaban en promoción 2 x 1. Llegué a la caja para pagar 3000 pesos con una gift card ejecutiva con mayor valor de crédito y me dijeron que no era apta promociones. Pague con mi tarjeta de crédito. De los 4 juguetes 3 no funcionaron. Fallados ! Vergüenza. Fui a cambiarlos y ahí mme comentan q si servia mi gift card. Peor me sentí. Gasté todo ese día para no volver más . Finalmente deje casi 6 mil pesos. Pedí a mi marido q reclmiende a la empresa donde trabaja que den el bono en otra tienda.	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
1488	21/8/2018	Dot	6	Me parece que en Falabella no hay muchas personas q asesoren.... La ropa d niños era un desorden	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
1489	21/8/2018	Unicenter	5	Estaba super desordenada y no había casi productos de las ofertas que se anunciaban3	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1490	21/8/2018	Mendoza	6	Están en plena reparación es muy incómodo comprar así.	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
1491	21/8/2018	Dot	6	Mercadería revuelta fuera de lugar , varias veces consulte precio x pantalla, no claro los precios	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
1492	22/8/2018	Avellaneda	6	.	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
1493	22/8/2018	Rosario	6	La ropa y la atención son buenas. Falta variedad de talles y mejores promociones con tarjetas	Cajas	Tarjetas de crédito / Bancos	Inconformidad con el tipo de financiación	detractores resto para compesandar
1494	22/8/2018	Unicenter	6	La.persona que se encontraba en los probadores era muy poco amable	Probadores	Colaborador	Falta amabilidad y actitud de servicio probador	detractores resto para compesandar
1495	22/8/2018	Cordoba	5	Compramos una exprimidora Wurden y le faltaba un cono intercambiable	Productos	Disponibilidad	Producto en mal estado	detractores resto para compesandar
1496	22/8/2018	Florida 1 (Florida N°343)	6	Porque no es todo lo completa que me gustaría que fuera.	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
1497	22/8/2018	Rosario	6	Falta mas ofertas	Precio y ofertas	Ofertas	Faltante de ofertas atractivas	detractores resto para compesandar
1498	22/8/2018	Dot	1	No es la primera vez que al momento de abonar en la caja no te entregan todos los productos que figuran en el ticket. Realice el reclamo por teléfono y me invitaron a acercarme a la sucursal. Por motivos laborales y de distancia no lo puedo hacer ya que no recido en la zona.	Cajas	Inconveniente en transacción	Error de personal	detractores resto para compesandar
1499	22/8/2018	Cordoba	6	Precios	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
1500	22/8/2018	Tortugas	5	Es demasiado el tiempo que se espera a la hora de pagar. Se ve a los empleados con poco ánimo para una buena atención.	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
1501	22/8/2018	Unicenter	5	Muy desordenada la mercaderia y mezclada.difícil de encontrar los precios y ralles	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
